,item_name,spk,txt,ph,wav_fn,others
0,1,SPK1,卡尔普陪外孙玩滑梯.,<BOS> k a3 | er3 | p u3 # p ei2 # w ai4 | s un1 # w an2 # h ua2 | t i1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000000_000001.wav,{}
1,2,SPK1,假语村言别再拥抱我.,<BOS> j ia3 | y u3 # c un1 | y an2 | b ie2 # z ai4 # y ong1 | b ao4 # w o3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000001_000002.wav,{}
2,3,SPK1,宝马配挂跛骡鞍。貂蝉怨枕董翁榻.,<BOS> b ao3 | m a3 # p ei4 | g ua4 # b o3 # l uo2 | an1 | d iao1 | ch an2 # y uan4 # zh en3 # d ong3 | w eng1 # t a4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000002_000003.wav,{}
3,4,SPK1,邓小平与撒切尔会晤.,<BOS> d eng4 | x iao3 | p ing2 # y u3 # s a1 | q ie4 | er3 # h ui4 | w u4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000003_000004.wav,{}
4,5,SPK1,老虎幼崽与宠物犬玩耍.,<BOS> l ao3 | h u3 # y ou4 | z ai3 # y u3 # ch ong3 | w u4 | q uan3 # w an2 | sh ua3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000004_000005.wav,{}
5,6,SPK1,身长约五尺二寸五分或以上.,<BOS> sh en1 | ch ang2 # y ue1 # w u3 | ch i3 # er4 | c un4 # w u3 | f en1 # h uo4 # y i3 | sh ang4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000005_000006.wav,{}
6,7,SPK1,赵荻约曹云腾去鬼屋.,<BOS> zh ao4 | d i2 # y ue1 # c ao2 | y un2 | t eng2 # q u4 # g ui3 | w u1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000006_000007.wav,{}
7,8,SPK1,展品虽有。展员却颓.,<BOS> zh an3 | p in3 # s ui1 # y ou3 | zh an3 | y uan2 # q ue4 # t ui2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000007_000008.wav,{}
8,9,SPK1,以散居儿童和幼托儿童为主.,<BOS> y i3 # s an3 | j u1 # er2 | t ong2 # h e2 # y ou4 | t uo1 # er2 | t ong2 # w ei2 | zh u3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000008_000009.wav,{}
9,10,SPK1,柯特妮身穿豹纹大衣.,<BOS> k e1 | t e4 | n i1 # sh en1 | ch uan1 # b ao4 | w en2 # d a4 | y i1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000009_000010.wav,{}
